FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_1411_12523","dbo","AC_RECADOENVIADOS","CODACAO","dbo","AC_ACAORECADOS","HANDLE"
"FK_1413_10920","dbo","AC_RECADOSRECEBIDOS","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1413_11340","dbo","AC_RECADOSRECEBIDOS","NOMEEMISSOR","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1413_12525","dbo","AC_RECADOSRECEBIDOS","PASTA","dbo","AC_PASTASARQUIVAREC","HANDLE"
"FK_1413_12526","dbo","AC_RECADOSRECEBIDOS","CODACAO","dbo","AC_ACAORECADOS","HANDLE"
"FK_1413_12527","dbo","AC_RECADOSRECEBIDOS","SITMSGREC","dbo","AC_SITUACAOAGENDA","HANDLE"
"FK_1649_13071","dbo","AC_RELOGIOS","RELOGIO","dbo","PO_RELOGIOS","HANDLE"
"FK_1649_13075","dbo","AC_RELOGIOS","COMANDO","dbo","AC_COMANDOS","HANDLE"
"FK_1377_10637","dbo","AC_RELOGIOSSERVIDOR","CODSERV","dbo","AC_SERVIDORES","HANDLE"
"FK_1377_10638","dbo","AC_RELOGIOSSERVIDOR","CODRELOGIO","dbo","PO_RELOGIOS","HANDLE"
"FK_1394_12547","dbo","AC_RESERVAVEICULOS","SITRES","dbo","AC_SITUACAORESERVAFROTA","HANDLE"
"FK_1394_15197","dbo","AC_RESERVAVEICULOS","ITINERARIO","dbo","AC_ITINERARIO","HANDLE"
"FK_1394_17150","dbo","AC_RESERVAVEICULOS","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1394_17152","dbo","AC_RESERVAVEICULOS","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1394_17160","dbo","AC_RESERVAVEICULOS","VEICULO","dbo","AC_VEICULOSFROTA","HANDLE"
"FK_1753_51551","dbo","AC_SEMAFORO","FUNCIONARIO","dbo","PO_FUNCIONARIOS","HANDLE"
"FK_1186_8693","dbo","AC_SIRENES","RELOGIO","dbo","PO_RELOGIOS","HANDLE"
"FK_1653_35694","dbo","AC_TIPOCOMANDOS","FABRICANTE","dbo","AC_VERSAOCOLETORES","HANDLE"
"FK_1392_12533","dbo","AC_TIPOSACESSO","FUNCAO","dbo","PO_FUNCOES","HANDLE"
"FK_1405_12534","dbo","AC_VEICULOS","OUTRAEMPRESA","dbo","AC_OUTRAEMPRESAS","HANDLE"
"FK_1405_12535","dbo","AC_VEICULOS","UFPLACA","dbo","TA_ESTADOS","HANDLE"
"FK_1405_12720","dbo","AC_VEICULOS","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1395_10784","dbo","AC_VEICULOSFROTA","FUNCIONARIO","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1395_12543","dbo","AC_VEICULOSFROTA","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_1395_13026","dbo","AC_VEICULOSFROTA","OUTRAEMPRESA","dbo","AC_OUTRAEMPRESAS","HANDLE"
"FK_1395_13027","dbo","AC_VEICULOSFROTA","UFPLACA","dbo","TA_ESTADOS","HANDLE"
"FK_1395_17154","dbo","AC_VEICULOSFROTA","MARCA","dbo","AC_MARCASVEICULOS","HANDLE"
"FK_1406_10883","dbo","AC_VISITANTES","CODPRM","dbo","PO_PERMISSOES","HANDLE"
"FK_1406_12528","dbo","AC_VISITANTES","OUTRAEMPRESA","dbo","AC_OUTRAEMPRESAS","HANDLE"
"FK_1406_12529","dbo","AC_VISITANTES","UFPLACA","dbo","TA_ESTADOS","HANDLE"
"FK_1406_12532","dbo","AC_VISITANTES","TIPODOC","dbo","AC_TIPODOCUMENTO","HANDLE"
"FK_1406_13024","dbo","AC_VISITANTES","RESPONSAVEL","dbo","DO_FUNCIONARIOS","HANDLE"
"FK_1406_13049","dbo","AC_VISITANTES","TIPO","dbo","PO_TIPFUN","HANDLE"
"FK_1925_15593","dbo","AD_AVAEXTDESCRICAO","EXTERNA","dbo","AD_AVAEXTERNA","HANDLE"
"FK_1879_17875","dbo","AD_AVAEXTERNA","AVALIACAO","dbo","AD_AVALIACOES","HANDLE"
"FK_1879_23752","dbo","AD_AVAEXTERNA","CANDIDATO","dbo","RS_CANDIDATOS","HANDLE"
"FK_1485_15568","dbo","AD_AVAEXTQUERESPOSTAS","RESPOSTAS","dbo","AD_RESPOSTAQUESTOES","HANDLE"
"FK_1485_15578","dbo","AD_AVAEXTQUERESPOSTAS","RESPOSTA","dbo","AD_RESPOSTAS","HANDLE"
"FK_1485_15580","dbo","AD_AVAEXTQUERESPOSTAS","QUESTAO","dbo","AD_FORMULARIOQUESTOES","HANDLE"
"FK_1485_17866","dbo","AD_AVAEXTQUERESPOSTAS","EXTERNA","dbo","AD_AVAEXTERNA","HANDLE"
"FK_1462_11378","dbo","AD_AVAFUNCARGOS","CARGOS","dbo","CS_CARGOS","HANDLE"
"FK_1462_15139","dbo","AD_AVAFUNCARGOS","FUNCIONARIO","dbo","AD_AVAFUNCIONARIOS","HANDLE"
"FK_1487_17876","dbo","AD_AVAFUNCIONARIOS","AVALIACAO","dbo","AD_AVALIACOES","HANDLE"
"FK_1461_11366","dbo","AD_AVAFUNCURSOS","CURSO","dbo","TA_QUALIFICACOES","HANDLE"
"FK_1461_15140","dbo","AD_AVAFUNCURSOS","FUNCIONARIO","dbo","AD_AVAFUNCIONARIOS","HANDLE"
"FK_1871_15137","dbo","AD_AVAFUNDESCRICAO","FUNCIONARIO","dbo","AD_AVAFUNCIONARIOS","HANDLE"
"FK_1870_15570","dbo","AD_AVAFUNQUERESPOSTAS","RESPOSTAS","dbo","AD_RESPOSTAQUESTOES","HANDLE"
